source,target,weight,volume
hton,sfax,1,book1
isen,mdoo,1,book1
isen,mord,1,book1
isen,morg,1,book1
isen,osgi,1,book1
isen,rive,1,book1
isen,tiri,1,book1
isen,tomb,1,book1
isil,lego,1,book1
isil,morg,1,book1
isil,orcs,1,book1
isil,osgi,1,book1
isil,rive,1,book1
lego,rive,1,book1
lego,saur,1,book1
lego,thor,1,book1
lego,tiri,1,book1
lori,mord,1,book1
lori,osgi,1,book1
lori,ring,1,book1
loth,mdoo,1,book1
loth,mori,1,book1
loth,ring,1,book1
loth,rive,1,book1
loth,shir,1,book1
loth,tiri,1,book1
mdoo,morg,1,book1
mdoo,osgi,1,book1
mdoo,ring,1,book1
mdoo,roha,1,book1
mdoo,saur,1,book1
merr,mord,1,book1
merr,tiri,1,book1
mord,mori,1,book1
mord,tomb,1,book1
mord,treeb,1,book1
morg,nazg,1,book1
morg,nume,1,book1
morg,ring,1,book1
morg,roha,1,book1
morg,saru,1,book1
mori,rive,1,book1
mori,shir,1,book1
mori,thor,1,book1
nazg,orcs,1,book1
nazg,rive,1,book1
nazg,saru,1,book1
nazg,saur,1,book1
nazg,tomb,1,book1
nume,osgi,1,book1
nume,rive,1,book1
nume,saru,1,book1
orth,ring,1,book1
osgi,orcs,1,book1
osgi,roha,1,book1
osgi,saur,1,book1
pipp,tiri,1,book1
pipp,tomb,1,book1
ring,sfax,1,book1
ring,thor,1,book1
rive,saru,1,book1
rive,sfax,1,book1
rive,tomb,1,book1
roha,sfax,1,book1
sams,saur,1,book1
saru,orcs,1,book1
saru,shir,1,book1
saru,tiri,1,book1
saur,tomb,1,book1
sfax,shir,1,book1
shir,treeb,1,book1
thor,thra,1,book1
tiri,orcs,1,book1
